พื้นที่,เนื้อที่ปลูก,ผลผลิต
พืชผัก,124,620
ขมิ้น,10,0
ข่า,94,0
คะน้า,6,270
แตงกวา,3,0
ถั่วฝักยาว,2,0
บวบ,2,0
มะระจีน,1,0
ผักอื่นๆ,6,350
สมุนไพรและเครื่องเทศ (รต.01),57,0
ขมิ้นชัน,57,0
เหนือคลอง,"1,431.00","3,793,752.00"
ข้าว,150,"52,500.00"
ข้าวไร่,150,"52,500.00"
พืชผัก,"1,281.00","3,741,252.00"
ข้าวโพดหวาน,95,"95,000.00"
คะน้า,145,"280,000.00"
แตงกวา,94,"486,141.00"
แตงร้าน,20,"75,000.00"
แตงโมเนื้อ,270,"560,000.00"
ถั่วฝักยาว,141,"791,000.00"
บวบ,20,"205,111.00"
ผักกวางตุ้ง,212,"717,000.00"
ผักกาดขาวปลี,15,"50,000.00"
ผักบุ้งจีน,174,"298,000.00"
พริกขี้หนูเม็ดเล็ก(ขี้หนูสวน),65,"109,000.00"
พริกขี้หนูเม็ดใหญ่,30,"75,000.00"
กรุงเทพมหานคร,"162,066.60","111,014,755.05"
เขตหนองจอก,"82,876.09","64,429,934.00"
ข้าว,"82,566.84","63,930,414.00"
ข้าวนาปี,"47,818.84","39,816,964.00"
ข้าวนาปรัง,"34,748.00","24,113,450.00"
พืชไร่,165,"240,000.00"
ปอกระเจา,155,"210,000.00"
อ้อยเคี้ยว,10,"30,000.00"
พืชผัก,133.25,"257,020.00"
กะเพรา,30,"95,000.00"
คะน้า,7,"17,500.00"
โหระพา,25,"64,000.00"
เห็ดนางฟ้า,9.25,"19,320.00"
ผักอื่นๆ,62,"61,200.00"
ไม้ดอก,11,"2,500.00"
กล้วยไม้ (ไม้ตัดดอกเมืองร้อน),11,"2,500.00"
เขตบางเขน,851,"659,200.00"
ข้าว,850,"659,200.00"
ข้าวนาปี,390,"291,200.00"
ข้าวนาปรัง,460,"368,000.00"
พืชผัก,1,0
โหระพา,1,0
เขตบางกะปิ,0.5,"1,200.00"
สมุนไพรและเครื่องเทศ (รต.01),0.5,"1,200.00"
สมุนไพรอื่นๆ,0.5,"1,200.00"
เขตมีนบุรี,"5,461.00","6,597,600.00"
ข้าว,"2,951.00","2,477,600.00"
ข้าวนาปี,"2,229.00","1,740,000.00"
ข้าวนาปรัง,722,"737,600.00"
พืชไร่,10,0
เผือก,10,0
ไม้ประดับ,"2,500.00","4,120,000.00"
หญ้าปูสนาม,"2,500.00","4,120,000.00"
เขตลาดกระบัง,"17,546.00","13,286,900.00"
ข้าว,"17,546.00","13,286,900.00"
ข้าวนาปี,"8,689.00","6,729,300.00"
ข้าวนาปรัง,"8,857.00","6,557,600.00"
เขตตลิ่งชัน,"1,253.01","1,132,350.00"
พืชผัก,"1,181.01","1,009,850.00"
กะเพรา,87,"73,700.00"
กุยช่าย,17.01,"24,100.00"
ขมิ้น,87,"66,000.00"
ข่า,166,"213,500.00"
ขิง,40,"36,000.00"
คะน้า,82,"50,050.00"
ตะไคร้,173,"135,400.00"
ถั่วฝักยาว,53,"97,000.00"
ผักกวางตุ้ง,69,"45,300.00"
ผักบุ้งจีน,348,"218,900.00"
แมงลัก,32,"21,300.00"
โหระพา,27,"28,600.00"
ไม้ดอก,42,"25,500.00"
กล้วยไม้ (ไม้ตัดดอกเมืองร้อน),42,"25,500.00"
ไม้ประดับ,30,"97,000.00"
เตย,30,"97,000.00"
เขตบางขุนเทียน,121,"212,590.00"
พืชผัก,103,"115,190.00"
กะเพรา,13,"19,590.00"
ตะไคร้,22,"18,500.00"
ผักบุ้งจีน,46,"41,000.00"
พริกขี้หนูเม็ดเล็ก(ขี้หนูสวน),9,"16,300.00"
โหระพา,13,"19,800.00"
ไม้ดอก,18,"97,400.00"
กล้วยไม้ (ไม้ตัดดอกเมืองร้อน),18,"97,400.00"
เขตภาษีเจริญ,591,"1,006,600.00"
พืชผัก,184,"226,600.00"
กะเพรา,37,"24,500.00"
คะน้า,28,"25,500.00"
ถั่วฝักยาว,7,"13,800.00"
ถั่วพู,10,"6,100.00"
ผักกวางตุ้ง,23,"25,000.00"
ผักบุ้งจีน,69,"87,500.00"
มะเขือเปราะ,7,"24,700.00"
โหระพา,3,"19,500.00"
ไม้ดอก,32,"100,000.00"
กล้วยไม้ (ไม้ตัดดอกเมืองร้อน),32,"100,000.00"
ไม้ประดับ,375,"680,000.00"
เตย,261,"400,000.00"
ต้นพุด,114,"280,000.00"
เขตหนองแขม,"3,435.50","1,737,290.00"
ข้าว,156,"25,000.00"
ข้าวนาปี,103,"25,000.00"
ข้าวนาปรัง,53,0
พืชผัก,150,"88,400.00"
คะน้า,72,"39,800.00"
ผักกาดหอม,25,"18,750.00"
ผักบุ้งจีน,53,"29,850.00"
ไม้ดอก,"3,069.00","1,606,290.00"
กล้วยไม้ (ไม้ตัดดอกเมืองร้อน),655,"915,100.00"
สร้อยทอง,70.5,"21,200.00"
จำปี-จำปา,"1,804.00","204,090.00"
ดอกรัก,520.5,"460,900.00"
กล้วยไม้ (ไม้ดอกกระถาง),19,"5,000.00"
ไม้ประดับ,60.5,"17,600.00"
ไทร,50,"12,600.00"
ไม้ประดับกระถางอื่น ๆ,10.5,"5,000.00"
เขตประเวศ,69,"49,600.00"
ข้าว,62,"49,600.00"
ข้าวนาปี,62,"49,600.00"
พืชผัก,7,0
ตะไคร้,7,0
เขตสวนหลวง,25,"9,400.00"
พืชผัก,25,"9,400.00"
กะเพรา,9,"3,300.00"
ผักกวางตุ้ง,8,"2,400.00"
ผักกาดขาวปลี,4,"2,400.00"
ผักกาดหอม,4,"1,300.00"
เขตจอมทอง,66,"27,780.00"
พืชผัก,36,"8,130.00"
กระเฉด,5,550
กะเพรา,12,"2,700.00"
ถั่วฝักยาว,4,"1,350.00"
พริกขี้หนูเม็ดเล็ก(ขี้หนูสวน),11,"2,650.00"
โหระพา,4,880
ไม้ดอก,30,"19,650.00"
ผักบุ้งจีน,11,"2,550.00"
กล้วยไม้ (ไม้ตัดดอกเมืองร้อน),19,"17,100.00"
เขตดอนเมือง,6,"7,100.00"
พืชผัก,3,"2,100.00"
ผักอื่นๆ,3,"2,100.00"
ไม้ดอก,3,"5,000.00"
กล้วยไม้ (ไม้ดอกกระถาง),3,"5,000.00"
เขตบางแค,"15,106.13","1,094,965.05"
พืชผัก,"5,666.88","65,580.05"
คะน้า,"1,923.13","16,080.00"
ผักกวางตุ้ง,"1,367.50","14,600.05"
ผักบุ้งจีน,"2,376.25","34,900.00"
ไม้ดอก,"7,063.25","722,885.00"
กล้วยไม้ (ไม้ตัดดอกเมืองร้อน),"2,989.00","559,900.00"
จำปี-จำปา,"2,257.25","132,100.00"
ดอกพุด,469,"15,480.00"
ดอกรัก,"1,348.00","15,405.00"
ไม้ประดับ,"2,376.00","306,500.00"
เตย,"2,376.00","306,500.00"
เขตสายไหม,"1,512.00","1,123,800.00"
ข้าว,"1,512.00","1,123,800.00"
ข้าวนาปี,817,"637,300.00"
ข้าวนาปรัง,695,"486,500.00"
เขตคันนายาว,296.5,"238,600.00"
ข้าว,294.5,"235,600.00"
ข้าวนาปี,114.5,"91,600.00"
ข้าวนาปรัง,180,"144,000.00"
พืชผัก,2,"3,000.00"
ผักอื่นๆ,2,"3,000.00"
เขตสะพานสูง,112.17,"89,736.00"
ข้าว,112.17,"89,736.00"
ข้าวนาปี,32.17,"25,736.00"
ข้าวนาปรัง,80,"64,000.00"
เขตคลองสามวา,"21,313.95","17,312,760.00"
ข้าว,"19,855.95","15,491,760.00"
ข้าวนาปี,"14,155.95","11,401,760.00"
ข้าวนาปรัง,"5,700.00","4,090,000.00"
พืชผัก,12,"1,500.00"
กะเพรา,2,0
ตะไคร้,3,500
แตงโมเนื้อ,5,"1,000.00"
โหระพา,2,0
ไม้ประดับ,"1,446.00","1,819,500.00"
เตย,7,300
หญ้าปูสนาม,"1,439.00","1,819,200.00"
เขตทวีวัฒนา,"10,280.50","1,671,000.00"
ข้าว,873.5,"470,800.00"
ข้าวนาปี,588.5,"470,800.00"
ข้าวนาปรัง,285,0
พืชผัก,"4,602.00","589,150.00"
กะเพรา,690,"33,700.00"
กุยช่าย,"1,077.00","87,000.00"
คะน้า,683,"137,650.00"
ผักกวางตุ้ง,583,"81,600.00"
ผักกาดหอม,662,"111,600.00"
ผักบุ้งจีน,907,"137,600.00"
ไม้ดอก,"4,118.00","574,900.00"
กล้วยไม้ (ไม้ตัดดอกเมืองร้อน),"2,667.00","391,600.00"
สร้อยทอง,497,"25,050.00"
ดอกพุด,85,"9,450.00"
กล้วยไม้ (ไม้ดอกกระถาง),869,"148,800.00"
ไม้ประดับ,687,"36,150.00"
เตย,539,"27,450.00"
ไม้ประดับกระถางอื่น ๆ,148,"8,700.00"
เขตทุ่งครุ,10.25,"5,450.00"
พืชผัก,5,950
คะน้า,1,200
ผักกวางตุ้ง,2,250
ผักบุ้งจีน,2,500
ไม้ดอก,5,"3,700.00"
กล้วยไม้ (ไม้ตัดดอกเมืองร้อน),5,"3,700.00"
ไม้ประดับ,0.25,800
เตย,0.25,800
เขตบางบอน,"1,134.00","320,900.00"
พืชผัก,340,"121,900.00"
คะน้า,110,"16,500.00"
ผักกวางตุ้ง,110,"16,000.00"
ผักบุ้งจีน,120,"89,400.00"
ไม้ดอก,794,"199,000.00"
จำปี-จำปา,134,"150,000.00"
ดอกรัก,660,"49,000.00"
กาญจนบุรี,"2,070,235.42","6,538,199,900.30"
เมืองกาญจนบุรี,"158,612.00","874,021,660.00"
ข้าว,"13,703.00","6,165,800.00"
ข้าวนาปี,"8,483.00","6,165,800.00"
ข้าวนาปรัง,"5,220.00",0
พืชไร่,"131,968.00","847,663,160.00"
ข้าวโพดเลี้ยงสัตว์,"2,973.00","896,700.00"
เผือก,175,0
ยาสูบ,75,"22,500.00"
อ้อยโรงงาน,"79,954.00","700,564,060.00"
สับปะรด,50,0
มันสำปะหลังโรงงาน,"48,741.00","146,179,900.00"
พืชผัก,"12,773.00","18,512,700.00"
กระชาย,620,"940,000.00"
ข้าวโพดฝักอ่อน,"1,520.00","2,165,200.00"
ข้าวโพดหวาน,"6,539.00","9,412,300.00"
คะน้า,"1,655.00","2,171,500.00"
ตะไคร้,415,"398,000.00"
แตงโมเนื้อ,200,"7,000.00"
ถั่วฝักยาว,88,"303,300.00"
พริกขี้หนูเม็ดเล็ก(ขี้หนูสวน),546,"1,641,850.00"
พริกขี้หนูเม็ดใหญ่,165,"507,500.00"
พริกใหญ่,404,"450,000.00"
มะเขือเปราะ,95,"260,360.00"
หน่อไม้ฝรั่ง,501,"255,690.00"
เมล่อนญี่ปุ่น,25,0
สมุนไพรและเครื่องเทศ (รต.01),168,"1,680,000.00"
ว่านหางจระเข้,168,"1,680,000.00"
ไทรโยค,"128,963.05","446,779,365.00"
ข้าว,565,"331,700.00"
ข้าวนาปี,495,"331,700.00"
ข้าวนาปรัง,70,0
พืชไร่,"116,796.00","433,751,700.00"
ข้าวโพดเลี้ยงสัตว์,"7,161.00","5,012,700.00"
อ้อยโรงงาน,"12,443.00","124,430,000.00"
สับปะรด,"1,352.00","20,061,000.00"
มันสำปะหลังโรงงาน,"95,840.00","284,248,000.00"
พืชผัก,"10,281.05","11,475,765.00"
ขมิ้น,"1,708.00","1,291,000.00"
คะน้า,130,"137,000.00"
ตะไคร้,"1,571.00","1,079,500.00"
แตงกวา,415,"350,800.00"
แตงร้าน,385,"343,500.00"
ถั่วฝักยาว,660,"595,360.00"
บวบ,662,"473,100.00"
ผักกวางตุ้ง,130,"127,000.00"
พริกขี้หนูเม็ดเล็ก(ขี้หนูสวน),"1,497.00","1,148,050.00"
พริกขี้หนูเม็ดใหญ่,"1,145.00","1,042,705.00"
พริกใหญ่,717.05,"769,050.00"
มะเขือเปราะ,"1,251.00","4,099,950.00"
หน่อไม้ฝรั่ง,10,"18,750.00"
ไม้ดอก,3,"16,200.00"
มะลิ (ไม้เด็ดดอก),3,"16,200.00"
สมุนไพรและเครื่องเทศ (รต.01),"1,318.00","1,204,000.00"
กระชายดำ,41,"15,500.00"
ขมิ้นชัน,"1,007.00","918,500.00"
ไพล,210,"210,000.00"
สมุนไพรอื่นๆ,60,"60,000.00"
บ่อพลอย,"239,525.00","1,193,545,889.00"
ข้าว,"16,846.00","5,709,550.00"
ข้าวนาปี,"16,432.00","5,709,550.00"
ข้าวนาปรัง,414,0
พืชไร่,"219,880.00","1,184,503,271.00"
ข้าวโพดเลี้ยงสัตว์,"5,305.00","2,953,525.00"
เผือก,473,"875,974.00"
อ้อยโรงงาน,"149,813.00","1,082,251,000.00"
สับปะรด,"17,879.00","16,645,040.00"
มันสำปะหลังโรงงาน,"46,410.00","81,777,732.00"
พืชผัก,"2,799.00","3,333,068.00"
กระชาย,269,"618,855.00"
กุยช่าย,30,"34,520.00"
ข้าวโพดฝักอ่อน,329,"459,200.00"
ข้าวโพดหวาน,677,"969,924.00"
คะน้า,124,"171,764.00"
ตะไคร้,50,"39,550.00"
ผักชี,495,"230,902.00"
พริกขี้หนูเม็ดเล็ก(ขี้หนูสวน),64,"4,940.00"
สะระแหน่,8,"15,856.00"
หน่อไม้ฝรั่ง,355,"292,743.00"
หอมแบ่ง(ต้นหอม),378,"472,604.00"
โหระพา,17,"17,970.00"
เมล่อนญี่ปุ่น,3,"4,240.00"
ศรีสวัสดิ์,"71,527.25","68,521,800.00"
ข้าว,"2,807.00","1,122,800.00"
ข้าวไร่,"2,807.00","1,122,800.00"
พืชไร่,"68,717.00","67,395,000.00"
ข้าวโพดเลี้ยงสัตว์,"48,235.00","48,235,000.00"
อ้อยโรงงาน,290,0
สับปะรด,49,0
มันสำปะหลังโรงงาน,"7,904.00","6,762,000.00"
ข้าวโพดเลี้ยงสัตว์ (เมล็ดพันธุ์),"12,239.00","12,209,000.00"
ข้าวโพดเลี้ยงสัตว์ (ต้นสด),0,"189,000.00"
สมุนไพรและเครื่องเทศ (รต.01),3.25,"4,000.00"
กระชายดำ,1.25,0
ขมิ้นชัน,2,"4,000.00"
ท่ามะกา,"243,030.50","783,957,266.00"
ข้าว,"118,281.00","84,880,860.00"
ข้าวนาปี,"60,412.00","84,880,860.00"
ข้าวนาปรัง,"57,869.00",0
พืชไร่,"55,852.00","607,773,300.00"
ข้าวโพดเลี้ยงสัตว์,2,"3,000.00"
อ้อยโรงงาน,"54,280.00","565,538,000.00"
หญ้าเลี้ยงสัตว์,"1,015.00","40,620,300.00"
มันสำปะหลังโรงงาน,555,"1,612,000.00"
พืชผัก,"68,218.00","90,137,070.00"
ข้าวโพดฝักอ่อน,"63,970.00","84,293,720.00"
ข้าวโพดหวาน,"2,970.00","4,287,400.00"
พริกขี้หนูเม็ดเล็ก(ขี้หนูสวน),120,"156,900.00"
พริกขี้หนูเม็ดใหญ่,604,"817,500.00"
หน่อไม้ฝรั่ง,510,"461,550.00"
หอมหัวใหญ่,44,"120,000.00"
ไม้ดอก,679.5,"1,166,036.00"
กล้วยไม้ (ไม้ตัดดอกเมืองร้อน),679.5,"1,166,036.00"
ท่าม่วง,"193,322.75","571,661,793.00"
ข้าว,"85,096.00","38,301,050.00"
ข้าวนาปี,"51,081.00","38,301,050.00"
ข้าวนาปรัง,"34,015.00",0
พืชไร่,"87,400.00","502,295,362.00"
ถั่วลิสง,12,"14,800.00"
เผือก,310,"547,500.00"
อ้อยโรงงาน,"76,427.00","484,413,884.00"
สับปะรด,136,"54,000.00"
หญ้าเลี้ยงสัตว์,160,"6,570,000.00"
มันสำปะหลังโรงงาน,"10,355.00","10,695,178.00"
พืชผัก,"20,530.75","30,794,781.00"
กระชาย,"1,515.75","3,047,000.00"
ข้าวโพดฝักอ่อน,"5,833.00","6,006,589.00"
ข้าวโพดรับประทานฝักสด,171,"162,500.00"
ข้าวโพดหวาน,"4,027.00","5,365,289.00"
คะน้า,"1,801.00","2,586,750.00"
ตะไคร้,52,"30,000.00"
ผักกวางตุ้ง,200,"430,000.00"
ผักกาดขาวปลี,"2,135.00","3,294,008.00"
ผักกาดเขียวปลี,"1,505.00","3,140,000.00"
ผักกาดหอม,"1,240.00","1,716,600.00"
ผักคึ่นฉ่าย,340,"355,500.00"
ผักชี,728,"568,500.00"
พริกขี้หนูเม็ดเล็ก(ขี้หนูสวน),257,"597,333.00"
พริกขี้หนูเม็ดใหญ่,110,"980,000.00"
มะเขือเปราะ,51,"906,000.00"
หน่อไม้ฝรั่ง,96,"69,212.00"
หอมแบ่ง(ต้นหอม),205,"379,500.00"
หอมหัวใหญ่,42,"164,000.00"
โหระพา,222,"996,000.00"
ไม้ดอก,296,"270,600.00"
กล้วยไม้ (ไม้ตัดดอกเมืองร้อน),27,600
ไม้ดอกเมืองร้อนอื่น ๆ,19,"22,000.00"
สร้อยทอง,250,"248,000.00"
ทองผาภูมิ,"31,612.00","79,331,475.00"
ข้าว,"4,074.00","1,777,000.00"
ข้าวนาปี,"1,032.00","412,800.00"
ข้าวไร่,"3,042.00","1,364,200.00"
พืชไร่,"24,635.00","75,419,500.00"
ข้าวโพดเลี้ยงสัตว์,"6,089.00","4,711,200.00"
งาดำ,0,0
มันเทศ,135,"22,500.00"
สับปะรด,352,"455,800.00"
มันสำปะหลังโรงงาน,"18,059.00","70,230,000.00"
พืชผัก,724,"396,805.00"
ข้าวโพดหวาน,80,"200,000.00"
แตงร้าน,10,0
ถั่วฝักยาว,17,305
ผักกาดขาวปลี,50,0
พริกขี้หนูเม็ดเล็ก(ขี้หนูสวน),66,0
ฟักทอง,104,0
มะเขือเปราะ,106,"159,500.00"
ซาโยเต้(ฟักแม้ว),291,"37,000.00"
ไม้ดอก,2,170
เบญจมาศ,2,170
ไม้ประดับ,15,0
สน,15,0
สมุนไพรและเครื่องเทศ (รต.01),"2,162.00","1,738,000.00"
ขมิ้นชัน,"1,505.00","1,738,000.00"
บุก,657,0
สังขละบุรี,"10,627.00","21,098,800.00"
ข้าว,"4,555.00","1,779,250.00"
ข้าวนาปี,"1,950.00","867,500.00"
ข้าวไร่,"2,605.00","911,750.00"
พืชไร่,"5,375.00","19,162,000.00"
อ้อยเคี้ยว,15,"89,000.00"
มันสำปะหลังโรงงาน,"5,360.00","19,073,000.00"
พืชผัก,112,"122,930.00"
ข้าวโพดหวาน,15,"19,390.00"
ถั่วฝักยาว,36,"31,780.00"
บวบ,36,"37,560.00"
ฟักทอง,25,"34,200.00"
สมุนไพรและเครื่องเทศ (รต.01),585,"34,620.00"
กระเจี๊ยบแดง,35,"34,620.00"
ขมิ้นชัน,550,0
พนมทวน,"272,692.00","960,526,357.50"
ข้าว,"147,340.00","56,697,350.00"
ข้าวนาปี,"89,796.00","56,697,350.00"
ข้าวนาปรัง,"57,544.00",0
พืชไร่,"123,649.00","902,523,500.00"
ถั่วลิสง,44,"52,000.00"
อ้อยโรงงาน,"85,577.00","818,459,000.00"
หญ้าเลี้ยงสัตว์,139,0
มันสำปะหลังโรงงาน,"37,887.00","84,012,500.00"
พืชไร่อื่นๆ,2,0
พืชผัก,"1,003.00","1,245,507.50"
กะเพรา,9,0
ข้าวโพดฝักอ่อน,641,"809,750.00"
ผักคึ่นฉ่าย,98,"98,000.00"
หน่อไม้ฝรั่ง,84,"68,857.50"
เมล่อนญี่ปุ่น,171,"268,900.00"
ไม้ดอก,700,"60,000.00"
กล้วยไม้ (ไม้ตัดดอกเมืองร้อน),700,"60,000.00"
เลาขวัญ,"305,447.00","633,889,250.48"
ข้าว,"57,482.00","3,971,700.48"
ข้าวนาปี,"57,456.00","3,971,700.48"
ข้าวนาปรัง,26,0
พืชไร่,"247,049.00","627,979,250.00"
ข้าวโพดเลี้ยงสัตว์,800,"240,000.00"
อ้อยโรงงาน,"98,221.00","441,915,250.00"
มันสำปะหลังโรงงาน,"147,613.00","185,575,000.00"
ข้าวโพดเลี้ยงสัตว์ (เมล็ดพันธุ์),415,"249,000.00"
พืชผัก,916,"1,938,300.00"
ข้าวโพดรับประทานฝักสด,50,"80,000.00"
ข้าวโพดหวาน,130,"178,000.00"
คะน้า,24,"38,000.00"
แตงกวา,12,"36,000.00"
แตงโมเนื้อ,128,"310,000.00"
ผักคึ่นฉ่าย,115,"157,000.00"
ผักชี,125,"147,500.00"
ฟัก / แฟง,16,"31,000.00"
มะเขือเทศบริโภคสด,49,"59,000.00"
มะระจีน,0,0
หน่อไม้ฝรั่ง,142,"634,800.00"
หอมแบ่ง(ต้นหอม),125,"267,000.00"
ด่านมะขามเตี้ย,"91,927.00","74,080,109.00"
ข้าว,"9,349.00","6,422,300.00"
ข้าวนาปี,"8,649.00","6,422,300.00"
ข้าวนาปรัง,700,0
พืชไร่,"74,280.00","55,831,000.00"
ถั่วลิสง,130,"116,000.00"
อ้อยโรงงาน,"53,245.00","30,250,000.00"
มันสำปะหลังโรงงาน,"20,905.00","25,465,000.00"
พืชผัก,"8,298.00","11,826,809.00"
ข้าวโพดฝักอ่อน,824,"888,100.00"
ข้าวโพดรับประทานฝักสด,383,"505,700.00"
ข้าวโพดหวาน,"4,275.00","6,593,509.00"
คะน้า,80,"76,000.00"
แตงกวา,463,"848,500.00"
ถั่วฝักยาว,918,"1,364,000.00"
ผักกาดเขียวปลี,200,"205,500.00"
ผักคึ่นฉ่าย,65,"82,500.00"
ผักชี,110,"95,000.00"
พริกขี้หนูเม็ดเล็ก(ขี้หนูสวน),217,"194,000.00"
หน่อไม้ฝรั่ง,173,"530,400.00"
หอมแบ่ง(ต้นหอม),590,"443,600.00"
หนองปรือ,"137,291.00","603,247,335.32"
ข้าว,"4,777.00","1,886,673.00"
ข้าวนาปี,"3,355.00","1,793,433.00"
ข้าวนาปรัง,"1,200.00",0
ข้าวไร่,222,"93,240.00"
พืชไร่,"129,318.00","598,044,040.00"
ข้าวโพดเลี้ยงสัตว์,"2,833.00","1,254,080.00"
อ้อยโรงงาน,"65,818.00","460,803,696.00"
สับปะรด,"15,510.00","30,313,041.00"
มันสำปะหลังโรงงาน,"45,157.00","105,673,223.00"
พืชผัก,"3,196.00","3,316,622.32"
กระเจี๊ยบเขียว,50,"19,723.00"
ข้าวโพดฝักอ่อน,"1,025.00","877,069.00"
ข้าวโพดหวาน,660,"814,835.09"
คะน้า,215,"232,219.23"
แตงกวา,32,"41,480.00"
แตงร้าน,44,"89,202.00"
ถั่วฝักยาว,23,"26,650.00"
ผักกวางตุ้ง,359,"381,968.00"
ผักคึ่นฉ่าย,113,"90,144.00"
ผักชี,396,"435,920.00"
มะเขือเปราะ,18,"31,307.00"
มะเขืออื่นๆ,9,"15,433.00"
หอมแบ่ง(ต้นหอม),252,"260,672.00"
ห้วยกระเจา,"185,658.87","227,538,800.00"
ข้าว,"65,746.00","8,532,100.00"
ข้าวนาปี,"55,006.00","8,532,100.00"
ข้าวนาปรัง,"10,740.00",0
พืชไร่,"119,793.87","219,000,000.00"
อ้อยโรงงาน,"35,800.32","62,600,000.00"
มันสำปะหลังโรงงาน,"83,993.55","156,400,000.00"
พืชผัก,119,"6,700.00"
ข้าวโพดฝักอ่อน,30,"5,200.00"
พริกขี้หนูเม็ดใหญ่,32,"1,500.00"
เมล่อนญี่ปุ่น,57,0
ไม้ดอก,0,0
กุหลาบตัดดอก,0,0
กาฬสินธุ์,"2,249,315.34","1,606,374,649.42"
เมืองกาฬสินธุ์,"231,952.75","53,276,435.00"
ข้าว,"192,582.00","53,098,865.00"
ข้าวนาปี,"127,575.00","53,098,865.00"
ข้าวนาปรัง,"65,007.00",0
พืชไร่,"36,796.75","145,400.00"
